New_File_Name,Event_Count
00000-00-B001-1.LMD,139698
00001-00-B001-1.LMD,100000
00002-00-B001-1.LMD,100000
00003-00-B001-1.LMD,105324
00004-00-B001-1.LMD,139548
00005-00-B001-1.LMD,100000
00005-01-B002-1.LMD,144221
00005-02-B003-1.LMD,107066
00005-03-B001-1.LMD,105490
00005-04-B004-1.LMD,107844
00005-05-B001-1.LMD,119474
00006-00-B001-1.LMD,94499
00008-00-B001-1.LMD,100000
00009-00-B001-1.LMD,100000
00010-00-B001-1.LMD,121999
00010-01-B002-1.LMD,107124
00010-02-B003-1.LMD,945435
00010-03-B004-1.LMD,100000
00010-04-B005-1.LMD,100000
00010-05-B006-1.LMD,100000
00011-00-B001-1.LMD,100000
00012-00-B001-1.LMD,97874
00013-00-B001-1.LMD,100000
00014-00-B001-1.LMD,97174
00015-00-B001-1.LMD,157073
00016-00-B001-1.LMD,101599
00017-00-B001-1.LMD,150000
00018-00-B001-1.LMD,118089
00018-01-B002-1.LMD,186873
00018-02-B003-1.LMD,89224
00019-00-B001-1.LMD,100000
00020-00-B001-1.LMD,343069
00021-00-B001-1.LMD,100000
00022-00-B001-1.LMD,100000
00023-00-B001-1.LMD,100000
00024-00-B001-1.LMD,128698
00025-00-B003-1.LMD,100000
00025-01-B004-1.LMD,118799
00025-02-B005-1.LMD,40201
00025-03-B008-1.LMD,103332
00025-04-B009-1.LMD,178223
00025-05-B010-1.LMD,162473
00026-00-B001-1.LMD,100000
00027-00-B001-1.LMD,110988
00028-00-B001-1.LMD,84374
00029-00-B001-1.LMD,100000
00029-01-B001-1.LMD,110473
00030-00-B001-1.LMD,166498
00031-00-B001-1.LMD,76749
00032-00-B001-1.LMD,186173
00033-00-B001-1.LMD,101849
00034-00-B001-1.LMD,51651
00034-00-B001-2.LMD,4917
00034-01-B002-1.LMD,110999
00035-00-B001-1.LMD,90224
00035-01-B002-1.LMD,38151
00035-02-B003-1.LMD,115999
00035-03-B004-1.LMD,117649
00036-00-B001-1.LMD,100000
00037-00-B001-1.LMD,100000
00038-00-B001-1.LMD,283421
00039-00-B001-1.LMD,102299
00040-00-B001-1.LMD,139523
00041-00-B001-1.LMD,100000
00042-00-B001-1.LMD,150000
00043-00-B001-1.LMD,105152
00044-00-B001-1.LMD,133423
00045-00-B001-1.LMD,100000
00046-00-B001-1.LMD,100000
00047-00-B001-1.LMD,90699
00048-00-B001-1.LMD,73599
00049-00-B001-1.LMD,100000
00049-01-B002-1.LMD,100000
00050-00-B001-1.LMD,143248
00051-00-B001-1.LMD,100000
00052-00-B001-1.LMD,100000
00053-00-B001-1.LMD,136548
00054-00-B001-1.LMD,100000
00054-01-B002-1.LMD,100000
00055-00-B001-1.LMD,172173
00056-00-B001-1.LMD,122499
00057-00-B001-1.LMD,100000
00057-01-B002-1.LMD,100000
00058-00-B001-1.LMD,100000
00059-00-B001-1.LMD,100000
00060-00-B001-1.LMD,101799
00061-00-B001-1.LMD,100000
00062-00-B001-1.LMD,100000
00063-00-B001-1.LMD,138623
00064-00-B001-1.LMD,118734
00065-00-B001-1.LMD,100000
00066-00-B001-1.LMD,74824
00067-00-B001-1.LMD,100000
00067-00-B001-2.LMD,102749
00068-00-B001-1.LMD,100000
00069-00-B001-1.LMD,100000
00069-01-B002-1.LMD,100000
00069-02-B003-1.LMD,97974
00070-00-B001-1.LMD,100000
00071-00-B001-1.LMD,416744
00072-00-B001-1.LMD,100000
00073-00-B001-1.LMD,100000
00074-00-B001-1.LMD,151223
00075-00-B001-1.LMD,100000
00076-00-B001-1.LMD,100000
00077-00-B001-1.LMD,81699
00078-00-B001-1.LMD,100000
00078-01-B002-1.LMD,100000
00078-02-B003-1.LMD,100274
00079-00-B001-1.LMD,100000
00080-00-B001-1.LMD,100000
00081-00-B001-1.LMD,100000
00082-00-B001-1.LMD,100000
00083-00-B001-1.LMD,100000
00084-00-B001-1.LMD,178348
00085-00-B001-1.LMD,105199
00086-00-B001-1.LMD,100000
00087-00-B001-1.LMD,100000
00088-00-B001-1.LMD,151123
00089-00-B001-1.LMD,150373
00089-01-B002-1.LMD,100000
00089-02-B003-1.LMD,100000
00090-00-B001-1.LMD,85349
00091-00-B001-1.LMD,100000
00092-00-B001-1.LMD,100000
00094-00-B001-1.LMD,100000
00095-00-B001-1.LMD,100074
00096-00-B001-1.LMD,111816
00097-00-B001-1.LMD,100000
00097-01-B002-1.LMD,109119
00098-00-B001-1.LMD,98624
00099-00-B001-1.LMD,238622
00100-00-B001-1.LMD,100000
00101-00-B001-1.LMD,570716
00102-00-B001-1.LMD,100649
00103-00-B001-1.LMD,356145
00104-00-B001-1.LMD,156373
00105-00-B001-1.LMD,100000
00106-00-B001-1.LMD,100000
