New_File_Name,Event_Count
00000-00-L001-1.LMD,8126
00001-00-L001-1.LMD,14201
00002-00-L001-1.LMD,7777
00003-00-L001-1.LMD,15151
00004-00-L001-1.LMD,62674
00005-00-L001-1.LMD,21927
00007-00-L001-1.LMD,106874
00007-00-L001-2.LMD,25542
00008-00-L001-1.LMD,11044
00009-00-L001-1.LMD,12426
00010-00-L001-1.LMD,50551
00010-01-L002-1.LMD,20476
00010-02-L003-1.LMD,19201
00010-03-L004-1.LMD,29601
00010-04-L005-1.LMD,18426
00010-05-L006-1.LMD,7726
00011-00-L001-1.LMD,6825
00012-00-L001-1.LMD,10326
00013-00-L001-1.LMD,18126
00014-00-L001-1.LMD,3636
00015-00-L001-1.LMD,29876
00016-00-L001-1.LMD,11509
00017-00-L001-1.LMD,43578
00018-00-L001-1.LMD,6276
00019-00-L001-1.LMD,12901
00021-00-L001-1.LMD,13526
00022-00-L001-1.LMD,8226
00023-00-L001-1.LMD,28051
00024-00-L001-1.LMD,28161
00025-00-L003-1.LMD,2641
00025-01-L004-1.LMD,6326
00025-04-L009-1.LMD,8052
00025-05-L010-1.LMD,6951
00026-00-L001-1.LMD,18349
00027-00-L001-1.LMD,5091
00027-00-L001-2.LMD,5148
00028-00-L001-1.LMD,5522
00029-00-L001-1.LMD,6876
00029-01-L001-1.LMD,7601
00030-00-L001-1.LMD,9878
00031-00-L001-1.LMD,9476
00032-00-L001-1.LMD,5601
00033-00-L001-1.LMD,51551
00034-01-L002-1.LMD,4726
00035-00-L001-1.LMD,7151
00036-00-L001-1.LMD,8026
00037-00-L001-1.LMD,10276
00038-00-L001-1.LMD,6451
00038-00-L001-2.LMD,6451
00039-00-L001-1.LMD,16901
00040-00-L001-1.LMD,1184
00041-00-L001-1.LMD,21443
00042-00-L001-1.LMD,16661
00043-00-L001-1.LMD,8226
00044-00-L001-1.LMD,50901
00045-00-L001-1.LMD,100000
00046-00-L001-1.LMD,7501
00047-00-L001-1.LMD,15116
00048-00-L001-1.LMD,4851
00049-00-L001-1.LMD,22955
00049-00-L002-1.LMD,4046
00049-00-L002-2.LMD,4046
00049-01-L002-1.LMD,4046
00050-00-L001-1.LMD,5223
